Place1,Place2,Distance (km)
Chievo,Lazio,407.0200194793922
Chievo,Torino,264.18948039852523
Chievo,Sassuolo,83.93781035436989
Chievo,Empoli,189.89115251897167
Chievo,Parma,86.73778395837326
Chievo,Bologna,108.211247353509
Chievo,Atalanta,105.03011344573922
Chievo,Juventus,263.58593725305803
Chievo,Napoli,575.0602598611649
Chievo,SPAL,83.08634113559629
Chievo,Cagliari,708.8513602382753
Chievo,Genoa,195.31798355125082
Chievo,Inter Milan,144.56024644073023
Chievo,Frosinone,463.1306037015621
Chievo,Udinese,187.85001575041215
Chievo,Fiorentina,185.5363832089198
Chievo,AS Roma,407.0200194793922
Chievo,AC Milan,144.56024644073023
Chievo,Sampdoria,195.31798355125082
Chievo,Hellas Verona,0.0
Chievo,Lecce,816.0297303588028
Chievo,Brescia,59.11676950791018
Chievo,Spezia,174.28747168936985
Chievo,Crotone,868.7899404633254
Chievo,Benevento,570.8007652680996
Chievo,Salernitana,617.7396526288891
Chievo,Venezia,109.19564550706238
Chievo,Monza,130.79351035496938
Chievo,Cremonese,80.26334441823158
Lazio,Torino,519.7003731677153
Lazio,Sassuolo,341.8246503722717
Lazio,Empoli,233.8441331080115
Lazio,Parma,361.13487726487983
Lazio,Bologna,299.0253331111188
Lazio,Atalanta,475.0353950263617
Lazio,Juventus,525.1018556767368
Lazio,Napoli,190.3582363177839
Lazio,SPAL,330.0713529202825
Lazio,Cagliari,413.5917654589295
Lazio,Genoa,396.34249898601246
Lazio,Inter Milan,476.62238398594366
Lazio,Frosinone,79.4180816798998
Lazio,Udinese,464.67909792520675
Lazio,Fiorentina,226.4069458907565
Lazio,AS Roma,0.0
Lazio,AC Milan,476.62238398594366
Lazio,Sampdoria,396.34249898601246
Lazio,Hellas Verona,407.0200194793922
Lazio,Lecce,513.3806815324028
Lazio,Brescia,441.7194112926315
Lazio,Spezia,323.2861187529619
Lazio,Crotone,506.45581295819454
Lazio,Benevento,214.34374467492242
Lazio,Salernitana,244.63907146301122
Lazio,Venezia,388.23996014146553
Lazio,Monza,478.01237836067224
Lazio,Cremonese,406.32644853226196
Torino,Sassuolo,239.7679599519897
Torino,Empoli,301.14598089876796
Torino,Parma,214.02834778554805
Torino,Bologna,296.06999057922275
Torino,Atalanta,175.50208167813219
Torino,Juventus,7.56735575287785
Torino,Napoli,709.7779834457856
Torino,SPAL,313.1587878253967
Torino,Cagliari,660.4334677989372
Torino,Genoa,124.3883982813312
Torino,Inter Milan,125.26280395239398
Torino,Frosinone,595.4562338108337
Torino,Udinese,448.31752025128446
Torino,Fiorentina,321.43217283133697
Torino,AS Roma,519.7003731677153
Torino,AC Milan,125.26280395239398
Torino,Sampdoria,124.3883982813312
Torino,Hellas Verona,264.18948039852523
Torino,Lecce,1007.9011537946001
Torino,Brescia,211.2195066714451
Torino,Spezia,200.7396061917847
Torino,Crotone,1024.7253418488979
Torino,Benevento,725.754912953926
Torino,Salernitana,762.6193764940158
Torino,Venezia,372.5773703592439
Torino,Monza,143.2551731847837
Torino,Cremonese,188.0395402492385
Sassuolo,Empoli,112.4682668926771
Sassuolo,Parma,26.207544228638124
Sassuolo,Bologna,57.94675256337214
Sassuolo,Atalanta,134.20367626869603
Sassuolo,Juventus,241.5792223386407
Sassuolo,Napoli,519.9962702286798
Sassuolo,SPAL,77.12392927953616
Sassuolo,Cagliari,625.2202021838068
Sassuolo,Genoa,138.83308293258457
Sassuolo,Inter Milan,147.23360435549765
Sassuolo,Frosinone,405.32235229206384
Sassuolo,Udinese,250.87010771479936
Sassuolo,Fiorentina,115.41892463716997
Sassuolo,AS Roma,341.8246503722717
Sassuolo,AC Milan,147.23360435549765
Sassuolo,Sampdoria,138.83308293258457
Sassuolo,Hellas Verona,83.93781035436989
Sassuolo,Lecce,786.2183223403576
Sassuolo,Brescia,100.52396784791532
Sassuolo,Spezia,95.48887672398409
Sassuolo,Crotone,823.9229942551057
Sassuolo,Benevento,522.8900365950882
Sassuolo,Salernitana,566.7104826059693
Sassuolo,Venezia,156.54215073191216
Sassuolo,Monza,142.99210685279442
Sassuolo,Cremonese,67.7752874488642
Empoli,Parma,128.5132448486333
Empoli,Bologna,89.70399420635503
Empoli,Atalanta,242.34381487005814
Empoli,Juventus,305.35278513235363
Empoli,Napoli,418.28479331548533
Empoli,SPAL,134.2863861909696
Empoli,Cagliari,525.1469592161864
Empoli,Genoa,177.77793336261166
Empoli,Inter Milan,243.0688212434199
Empoli,Frosinone,302.7391340263122
Empoli,Udinese,316.08629425838933
Empoli,Fiorentina,27.080703704289775
Empoli,AS Roma,233.8441331080115
Empoli,AC Milan,243.0688212434199
Empoli,Sampdoria,177.77793336261166
Empoli,Hellas Verona,189.89115251897167
Empoli,Lecce,706.7748402805387
Empoli,Brescia,212.6952333202021
Empoli,Spezia,101.07779888333506
Empoli,Crotone,728.8924752615817
Empoli,Benevento,427.95706879339286
Empoli,Salernitana,468.145175740397
Empoli,Venezia,219.69275121121456
Empoli,Monza,244.17088322487757
Empoli,Cremonese,173.32688972894778
Parma,Bologna,84.08568803734063
Parma,Atalanta,113.97560416244016
Parma,Juventus,215.69342118298334
Parma,Napoli,541.7029781535989
Parma,SPAL,100.53829749559122
Parma,Cagliari,629.3731365071679
Parma,Genoa,117.78787939075265
Parma,Inter Milan,122.21474389568066
Parma,Frosinone,426.6349784687948
Parma,Udinese,265.6210908098441
Parma,Fiorentina,135.5568445766753
Parma,AS Roma,361.13487726487983
Parma,AC Milan,122.21474389568066
Parma,Sampdoria,117.78787939075265
Parma,Hellas Verona,86.73778395837326
Parma,Lecce,811.5306666595469
Parma,Brescia,86.58633215471023
Parma,Spezia,87.76840344884808
Parma,Crotone,847.3228015594083
Parma,Benevento,546.0861213358093
Parma,Salernitana,589.2308405993942
Parma,Venezia,174.21689726140133
Parma,Monza,119.28903672471867
Parma,Cremonese,45.23905604473156
Bologna,Atalanta,186.36226809910795
Bologna,Juventus,298.2345951259313
Bologna,Napoli,470.6374988983215
Bologna,SPAL,45.324924458107276
Bologna,Cagliari,614.8406050228858
Bologna,Genoa,187.81114792816638
Bologna,Inter Milan,204.45103811271974
Bologna,Frosinone,357.29078285465187
Bologna,Udinese,230.59665353873757
Bologna,Fiorentina,79.07732589754691
Bologna,AS Roma,299.0253331111188
Bologna,AC Milan,204.45103811271974
Bologna,Sampdoria,187.81114792816638
Bologna,Hellas Verona,108.211247353509
Bologna,Lecce,729.2720103600209
Bologna,Brescia,146.66864097479802
Bologna,Spezia,127.3975160148908
Bologna,Crotone,770.5701219458354
Bologna,Benevento,470.2712895039447
Bologna,Salernitana,515.4661029138207
Bologna,Venezia,133.14355255373178
Bologna,Monza,198.92952015027697
Bologna,Cremonese,123.92495226129407
Atalanta,Juventus,173.0084746125308
Atalanta,Napoli,654.1868488614658
Atalanta,SPAL,179.42606169530688
Atalanta,Cagliari,724.4648430005951
Atalanta,Genoa,154.6880908683674
Atalanta,Inter Milan,50.62272084539424
Atalanta,Frosinone,539.5142790373843
Atalanta,Udinese,276.20012084924053
Atalanta,Fiorentina,249.01613873809546
Atalanta,AS Roma,475.0353950263617
Atalanta,AC Milan,50.62272084539424
Atalanta,Sampdoria,154.6880908683674
Atalanta,Hellas Verona,105.03011344573922
Atalanta,Lecce,913.1180393132802
Atalanta,Brescia,46.02209994303859
Atalanta,Spezia,178.871167316574
Atalanta,Crotone,956.8251196666336
Atalanta,Benevento,656.2080986204185
Atalanta,Salernitana,700.6019239101767
Atalanta,Venezia,211.770858042985
Atalanta,Monza,32.25777337734676
Atalanta,Cremonese,69.04102493364752
Juventus,Napoli,715.0814001685391
Juventus,SPAL,314.30292329884344
Juventus,Cagliari,667.9608404524189
Juventus,Genoa,129.26585903174694
Juventus,Inter Milan,123.13402248871486
Juventus,Frosinone,600.6228755566394
Juventus,Udinese,446.85815852404374
Juventus,Fiorentina,325.2673815719062
Juventus,AS Roma,525.1018556767368
Juventus,AC Milan,123.13402248871486
Juventus,Sampdoria,129.26585903174694
Juventus,Hellas Verona,263.58593725305803
Juventus,Lecce,1012.0013317766012
Juventus,Brescia,209.80748871993927
Juventus,Spezia,205.26728226736174
Juventus,Crotone,1029.829398789395
Juventus,Benevento,730.6153510914347
Juventus,Salernitana,767.7629084024786
Juventus,Venezia,372.2618710855766
Juventus,Monza,140.83302115428697
Juventus,Cremonese,188.34112207415316
Napoli,SPAL,493.22775551741705
Napoli,Cagliari,467.8748889163695
Napoli,Genoa,586.0743336614398
Napoli,Inter Milan,660.849346236503
Napoli,Frosinone,115.54813387936797
Napoli,Udinese,589.1799954804652
Napoli,Fiorentina,406.3623558901358
Napoli,AS Roma,190.3582363177839
Napoli,AC Milan,660.849346236503
Napoli,Sampdoria,586.0743336614398
Napoli,Hellas Verona,575.0602598611649
Napoli,Lecce,343.76141196480023
Napoli,Brescia,617.0745651037514
Napoli,Spezia,512.020101625628
Napoli,Crotone,316.3671931601609
Napoli,Benevento,58.963219329549226
Napoli,Salernitana,56.979361986168875
Napoli,Venezia,532.2189412838073
Napoli,Monza,660.5447712582802
Napoli,Cremonese,586.7809430631643
SPAL,Cagliari,658.9914495985006
SPAL,Genoa,215.9119246020419
SPAL,Inter Milan,207.9762858475718
SPAL,Frosinone,382.40330311519904
SPAL,Udinese,185.82116889338658
SPAL,Fiorentina,120.54742586191246
SPAL,AS Roma,330.0713529202825
SPAL,AC Milan,207.9762858475718
SPAL,Sampdoria,215.9119246020419
SPAL,Hellas Verona,83.08634113559629
SPAL,Lecce,734.7750165766447
SPAL,Brescia,134.87112818319474
SPAL,Spezia,164.98601687453112
SPAL,Crotone,785.705143955294
SPAL,Benevento,487.87878244868125
SPAL,Salernitana,535.1093690546014
SPAL,Venezia,88.32241624750588
SPAL,Monza,198.6317395497172
SPAL,Cremonese,128.4621366458358
Cagliari,Genoa,579.631362219898
Cagliari,Inter Milan,697.4502556886713
Cagliari,Frosinone,446.2290267931867
Cagliari,Udinese,833.6223808726526
Cagliari,Fiorentina,539.3545969382538
Cagliari,AS Roma,413.5917654589295
Cagliari,AC Milan,697.4502556886713
Cagliari,Sampdoria,579.631362219898
Cagliari,Hellas Verona,708.8513602382753
Cagliari,Lecce,787.4421309580182
Cagliari,Brescia,713.4460926475837
Cagliari,Spezia,547.3620764334329
Cagliari,Crotone,689.7655104844692
Cagliari,Benevento,525.6860517736316
Cagliari,Salernitana,511.81904916884906
Cagliari,Venezia,741.0234414497808
Cagliari,Monza,709.2132723078859
Cagliari,Cremonese,663.9916081414075
Genoa,Inter Milan,118.77110409643909
Genoa,Frosinone,471.44722801471914
Genoa,Udinese,381.26174910079465
Genoa,Fiorentina,199.49234412689867
Genoa,AS Roma,396.34249898601246
Genoa,AC Milan,118.77110409643909
Genoa,Sampdoria,0.0
Genoa,Hellas Verona,195.31798355125082
Genoa,Lecce,884.3368821131736
Genoa,Brescia,163.4392331682595
Genoa,Spezia,76.77522902512604
Genoa,Crotone,900.5929013678614
Genoa,Benevento,601.386008316321
Genoa,Salernitana,638.5576741660539
Genoa,Venezia,291.8249944553993
Genoa,Monza,132.64309767165267
Genoa,Cremonese,117.49777010636645
Inter Milan,Frosinone,545.3887253773341
Inter Milan,Udinese,324.1401921212782
Inter Milan,Fiorentina,254.93627880825622
Inter Milan,AS Roma,476.62238398594366
Inter Milan,AC Milan,0.0
Inter Milan,Sampdoria,118.77110409643909
Inter Milan,Hellas Verona,144.56024644073023
Inter Milan,Lecce,933.4477350725225
Inter Milan,Brescia,87.76252878792033
Inter Milan,Spezia,162.32599838976228
Inter Milan,Crotone,968.6710778988463
Inter Milan,Benevento,667.3216108452865
Inter Milan,Salernitana,709.5694423502174
Inter Milan,Venezia,253.69079313953554
Inter Milan,Monza,18.65070217537393
Inter Milan,Cremonese,80.8972238833692
Frosinone,Udinese,494.2456704207031
Frosinone,Fiorentina,291.15062905847634
Frosinone,AS Roma,79.4180816798998
Frosinone,AC Milan,545.3887253773341
Frosinone,Sampdoria,471.44722801471914
Frosinone,Hellas Verona,463.1306037015621
Frosinone,Lecce,434.58303171135617
Frosinone,Brescia,503.22157450300466
Frosinone,Spezia,396.90510752009203
Frosinone,Crotone,429.33079565088906
Frosinone,Benevento,134.92666201878407
Frosinone,Salernitana,167.1767237740204
Frosinone,Venezia,428.535812378722
Frosinone,Monza,545.2799301366434
Frosinone,Cremonese,471.78510167873566
Udinese,Fiorentina,297.09159095287526
Udinese,AS Roma,464.67909792520675
Udinese,AC Milan,324.1401921212782
Udinese,Sampdoria,381.26174910079465
Udinese,Hellas Verona,187.85001575041215
Udinese,Lecce,753.9204409644707
Udinese,Brescia,237.09978115772248
Udinese,Spezia,345.84484508629413
Udinese,Crotone,841.399153008461
Udinese,Benevento,566.183362811258
Udinese,Salernitana,618.0763951091938
Udinese,Venezia,97.50669933908198
Udinese,Monza,307.372556556868
Udinese,Cremonese,268.11112437882707
Fiorentina,AS Roma,226.4069458907565
Fiorentina,AC Milan,254.93627880825622
Fiorentina,Sampdoria,199.49234412689867
Fiorentina,Hellas Verona,185.5363832089198
Fiorentina,Lecce,687.013373142603
Fiorentina,Brescia,215.481679666035
Fiorentina,Spezia,123.60110987801482
Fiorentina,Crotone,714.0838811005933
Fiorentina,Benevento,412.74610214888946
Fiorentina,Salernitana,454.6353855025822
Fiorentina,Venezia,202.15065357860456
Fiorentina,Monza,254.18289151948736
Fiorentina,Cremonese,180.77020457862042
AS Roma,AC Milan,476.62238398594366
AS Roma,Sampdoria,396.34249898601246
AS Roma,Hellas Verona,407.0200194793922
AS Roma,Lecce,513.3806815324028
AS Roma,Brescia,441.7194112926315
AS Roma,Spezia,323.2861187529619
AS Roma,Crotone,506.45581295819454
AS Roma,Benevento,214.34374467492242
AS Roma,Salernitana,244.63907146301122
AS Roma,Venezia,388.23996014146553
AS Roma,Monza,478.01237836067224
AS Roma,Cremonese,406.32644853226196
AC Milan,Sampdoria,118.77110409643909
AC Milan,Hellas Verona,144.56024644073023
AC Milan,Lecce,933.4477350725225
AC Milan,Brescia,87.76252878792033
AC Milan,Spezia,162.32599838976228
AC Milan,Crotone,968.6710778988463
AC Milan,Benevento,667.3216108452865
AC Milan,Salernitana,709.5694423502174
AC Milan,Venezia,253.69079313953554
AC Milan,Monza,18.65070217537393
AC Milan,Cremonese,80.8972238833692
Sampdoria,Hellas Verona,195.31798355125082
Sampdoria,Lecce,884.3368821131736
Sampdoria,Brescia,163.4392331682595
Sampdoria,Spezia,76.77522902512604
Sampdoria,Crotone,900.5929013678614
Sampdoria,Benevento,601.386008316321
Sampdoria,Salernitana,638.5576741660539
Sampdoria,Venezia,291.8249944553993
Sampdoria,Monza,132.64309767165267
Sampdoria,Cremonese,117.49777010636645
Hellas Verona,Lecce,816.0297303588028
Hellas Verona,Brescia,59.11676950791018
Hellas Verona,Spezia,174.28747168936985
Hellas Verona,Crotone,868.7899404633254
Hellas Verona,Benevento,570.8007652680996
Hellas Verona,Salernitana,617.7396526288891
Hellas Verona,Venezia,109.19564550706238
Hellas Verona,Monza,130.79351035496938
Hellas Verona,Cremonese,80.26334441823158
Lecce,Brescia,869.5125678196695
Lecce,Spezia,807.5664986169762
Lecce,Crotone,170.73490960929863
Lecce,Benevento,301.2937461956068
Lecce,Salernitana,288.61616036843793
Lecce,Venezia,737.2973532632709
Lecce,Monza,928.1325705372836
Lecce,Cremonese,853.1916060271457
Brescia,Spezia,166.67011112449245
Brescia,Crotone,916.5821392197354
Brescia,Benevento,616.7305982320034
Brescia,Salernitana,662.131823297619
Brescia,Venezia,166.9885424828286
Brescia,Monza,72.5226246071856
Brescia,Cremonese,50.402770128518505
Spezia,Crotone,825.5230733627096
Spezia,Benevento,525.6391290928585
Spezia,Salernitana,563.7482739210847
Spezia,Venezia,250.22923654264463
Spezia,Monza,169.26181858282902
Spezia,Cremonese,116.73439358563684
Crotone,Benevento,301.3598015252564
Crotone,Salernitana,262.16238676147594
Crotone,Venezia,806.5425413231292
Crotone,Monza,966.5782619493917
Crotone,Cremonese,891.6279662877554
Benevento,Salernitana,52.4278260369378
Benevento,Venezia,517.5445208980664
Benevento,Monza,665.3673271859494
Benevento,Cremonese,590.5233354085298
Salernitana,Venezia,567.7582453376482
Salernitana,Monza,708.4407100990138
Salernitana,Cremonese,634.0374246434018
Venezia,Monza,239.42843184847737
Venezia,Cremonese,185.5077746681497
Monza,Cremonese,75.26359128908193
